,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect
78,near_right,Home,right,3.0,8.0,3.0,40119543,right,1.0,1.0830000000000268,Navigation,Near,Absolute,Right,nonflipper,1.0
79,near_right,Away,left,3.0,9.0,7.0,40119543,left,1.0,0.8179999999999836,Navigation,Near,Absolute,Right,nonflipper,1.0
80,near_left,Left,left,3.0,10.0,10.0,40119543,left,1.0,1.099999999999966,Navigation,Near,Relative,Left,nonflipper,1.0
81,far_right,Away,left,3.0,11.0,5.0,40119543,left,1.0,1.4809999999999943,Navigation,Far,Absolute,Right,nonflipper,1.0
82,near_left,Right,right,3.0,12.0,14.0,40119543,right,1.0,1.0509999999999309,Navigation,Near,Relative,Left,nonflipper,1.0
83,near_right,Left,left,3.0,13.0,11.0,40119543,left,1.0,1.0330000000000157,Navigation,Near,Relative,Right,nonflipper,1.0
84,far_left,Away,right,3.0,14.0,4.0,40119543,right,1.0,1.0990000000000464,Navigation,Far,Absolute,Left,nonflipper,1.0
85,far_right,Left,right,3.0,15.0,9.0,40119543,right,1.0,1.2989999999999782,Navigation,Far,Relative,Right,nonflipper,1.0
22,far_left,Home,left,0.0,0.0,0.0,40321903,right,0.0,0.6670000000000016,Navigation,Far,Absolute,Left,flipper,1.0
23,far_left,Right,left,0.0,1.0,12.0,40321903,right,0.0,1.5319999999999825,Navigation,Far,Relative,Left,flipper,0.0
24,near_right,Home,right,0.0,2.0,3.0,40321903,right,1.0,0.8160000000000025,Navigation,Near,Absolute,Right,flipper,1.0
25,near_left,Right,right,0.0,3.0,14.0,40321903,right,1.0,0.9169999999999732,Navigation,Near,Relative,Left,flipper,1.0
26,near_left,Left,left,0.0,4.0,10.0,40321903,left,1.0,1.1670000000000016,Navigation,Near,Relative,Left,flipper,1.0
27,near_left,Home,left,0.0,5.0,2.0,40321903,left,1.0,0.7319999999999993,Navigation,Near,Absolute,Left,flipper,1.0
28,far_left,Away,right,0.0,6.0,4.0,40321903,left,0.0,2.1999999999999886,Navigation,Far,Absolute,Left,flipper,1.0
29,near_left,Away,right,0.0,7.0,6.0,40321903,right,1.0,0.6649999999999922,Navigation,Near,Absolute,Left,flipper,1.0
30,far_right,Away,left,0.0,8.0,5.0,40321903,right,0.0,1.1659999999999968,Navigation,Far,Absolute,Right,flipper,1.0
31,far_right,Left,right,0.0,9.0,9.0,40321903,right,1.0,1.3500000000000227,Navigation,Far,Relative,Right,flipper,1.0
32,far_left,Left,right,0.0,10.0,8.0,40321903,right,1.0,2.6999999999999886,Navigation,Far,Relative,Left,flipper,1.0
33,near_right,Away,left,0.0,11.0,7.0,40321903,left,1.0,0.9500000000000172,Navigation,Near,Absolute,Right,flipper,1.0
34,far_right,Home,right,0.0,12.0,1.0,40321903,left,0.0,1.0159999999999911,Navigation,Far,Absolute,Right,flipper,1.0
35,far_right,Right,left,0.0,13.0,13.0,40321903,left,1.0,1.3180000000000118,Navigation,Far,Relative,Right,flipper,1.0
36,near_right,Left,left,0.0,14.0,11.0,40321903,left,1.0,0.8490000000000179,Navigation,Near,Relative,Right,flipper,1.0
37,near_right,Right,right,0.0,15.0,15.0,40321903,right,1.0,0.5829999999999984,Navigation,Near,Relative,Right,flipper,1.0
38,near_right,Right,right,1.0,0.0,15.0,40321903,right,1.0,0.6670000000000016,Navigation,Near,Relative,Right,flipper,1.0
39,near_right,Home,right,1.0,1.0,3.0,40321903,right,1.0,0.75,Navigation,Near,Absolute,Right,flipper,1.0
40,far_right,Away,left,1.0,2.0,5.0,40321903,right,0.0,1.25,Navigation,Far,Absolute,Right,flipper,1.0
41,far_right,Home,right,1.0,3.0,1.0,40321903,left,0.0,0.6510000000000105,Navigation,Far,Absolute,Right,flipper,1.0
42,near_left,Away,right,1.0,4.0,6.0,40321903,right,1.0,0.6809999999999832,Navigation,Near,Absolute,Left,flipper,1.0
43,far_right,Left,right,1.0,5.0,9.0,40321903,right,1.0,0.9159999999999968,Navigation,Far,Relative,Right,flipper,1.0
44,far_left,Right,left,1.0,6.0,12.0,40321903,left,1.0,0.7670000000000243,Navigation,Far,Relative,Left,flipper,1.0
45,near_right,Away,left,1.0,7.0,7.0,40321903,left,1.0,0.6989999999999839,Navigation,Near,Absolute,Right,flipper,1.0
46,far_left,Home,left,1.0,8.0,0.0,40321903,right,0.0,0.782999999999987,Navigation,Far,Absolute,Left,flipper,1.0
47,far_left,Away,right,1.0,9.0,4.0,40321903,left,0.0,0.599000000000018,Navigation,Far,Absolute,Left,flipper,1.0
48,near_left,Left,left,1.0,10.0,10.0,40321903,left,1.0,0.7009999999999934,Navigation,Near,Relative,Left,flipper,1.0
49,far_right,Right,left,1.0,11.0,13.0,40321903,right,0.0,0.9170000000000016,Navigation,Far,Relative,Right,flipper,0.0
50,far_left,Left,right,1.0,12.0,8.0,40321903,right,1.0,1.3160000000000025,Navigation,Far,Relative,Left,flipper,1.0
51,near_left,Right,right,1.0,13.0,14.0,40321903,right,1.0,0.8160000000000025,Navigation,Near,Relative,Left,flipper,1.0
