participant,Unnamed: 0,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect,Sex,Age,SBSOD_AVERAGE,Friz_Total_Years_Played,Friz_Force_Preference,Friz_Position,Friz_Handedness,Friz_First_is_1
81058337,60,near_left,Right,left,2.0,6.0,10.0,left,1.0,0.6680000000000064,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,61,far_right,Away,left,2.0,7.0,13.0,left,1.0,0.9669999999999844,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,62,near_right,Home,left,2.0,8.0,7.0,left,1.0,0.6829999999999927,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,63,near_right,Left,right,2.0,9.0,3.0,right,1.0,0.6490000000000009,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,64,near_left,Home,left,2.0,10.0,6.0,left,1.0,0.6519999999999868,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,65,far_right,Home,right,2.0,11.0,5.0,right,1.0,0.6500000000000057,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,66,near_right,Away,left,2.0,12.0,15.0,left,1.0,0.7179999999999893,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,67,near_left,Left,right,2.0,13.0,2.0,right,1.0,0.8509999999999991,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,69,near_right,Right,right,2.0,15.0,11.0,right,1.0,0.6349999999999909,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,71,near_left,Home,left,3.0,1.0,6.0,left,1.0,0.6319999999999766,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,72,near_left,Right,left,3.0,2.0,10.0,left,1.0,0.5999999999999943,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,73,near_right,Right,right,3.0,3.0,11.0,right,1.0,0.5349999999999966,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,74,near_left,Away,right,3.0,4.0,14.0,right,1.0,0.5509999999999877,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,75,far_right,Away,left,3.0,5.0,13.0,left,1.0,0.7509999999999764,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,76,far_left,Right,left,3.0,6.0,8.0,left,1.0,0.983000000000004,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,77,far_right,Right,right,3.0,7.0,9.0,right,1.0,0.8509999999999991,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,78,near_left,Left,right,3.0,8.0,2.0,right,1.0,0.535000000000025,Frisbee,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,79,near_right,Left,right,3.0,9.0,3.0,right,1.0,0.5999999999999659,Frisbee,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,80,far_left,Left,left,3.0,10.0,0.0,left,1.0,0.6009999999999991,Frisbee,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,81,far_left,Home,right,3.0,11.0,4.0,right,1.0,0.6340000000000146,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,83,far_left,Away,right,3.0,13.0,12.0,right,1.0,0.7000000000000455,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,84,far_right,Left,left,3.0,14.0,1.0,left,1.0,0.5,Frisbee,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,85,near_right,Away,left,3.0,15.0,15.0,left,1.0,0.6510000000000105,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,22,far_right,Right,left,0.0,0.0,13.0,left,1.0,0.7350000000000136,Navigation,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,23,near_left,Home,left,0.0,1.0,2.0,left,1.0,0.5180000000000007,Navigation,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,24,near_left,Away,right,0.0,2.0,6.0,right,1.0,0.6340000000000146,Navigation,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,25,near_right,Away,left,0.0,3.0,7.0,left,1.0,0.6680000000000064,Navigation,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,26,near_left,Right,right,0.0,4.0,14.0,right,1.0,0.5,Navigation,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,27,near_right,Left,left,0.0,5.0,11.0,left,1.0,0.5520000000000209,Navigation,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,28,far_right,Left,right,0.0,6.0,9.0,right,1.0,0.5989999999999895,Navigation,Far,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,29,near_left,Left,left,0.0,7.0,10.0,left,1.0,0.5500000000000114,Navigation,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,30,far_right,Home,right,0.0,8.0,1.0,right,1.0,0.5,Navigation,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,31,near_right,Right,right,0.0,9.0,15.0,right,1.0,0.4000000000000057,Navigation,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,32,near_right,Home,right,0.0,10.0,3.0,right,1.0,0.5169999999999959,Navigation,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,33,far_right,Away,left,0.0,11.0,5.0,left,1.0,0.6840000000000259,Navigation,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,34,far_left,Away,right,0.0,12.0,4.0,right,1.0,0.6649999999999922,Navigation,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,36,far_left,Home,left,0.0,14.0,0.0,left,1.0,0.6009999999999991,Navigation,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,37,far_left,Right,left,0.0,15.0,12.0,left,1.0,0.6340000000000146,Navigation,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,39,far_right,Home,right,1.0,1.0,1.0,right,1.0,0.5679999999999836,Navigation,Far,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,40,near_left,Home,left,1.0,2.0,2.0,left,1.0,0.5340000000000202,Navigation,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,41,near_left,Away,right,1.0,3.0,6.0,right,1.0,0.6500000000000057,Navigation,Near,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,42,near_right,Home,right,1.0,4.0,3.0,right,1.0,0.5169999999999959,Navigation,Near,Absolute,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,43,near_right,Left,left,1.0,5.0,11.0,left,1.0,0.5019999999999811,Navigation,Near,Relative,Right,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,44,near_left,Left,left,1.0,6.0,10.0,left,1.0,0.4660000000000082,Navigation,Near,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,45,far_left,Right,left,1.0,7.0,12.0,left,1.0,0.6350000000000193,Navigation,Far,Relative,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
81058337,46,far_left,Away,right,1.0,8.0,4.0,right,1.0,0.6330000000000098,Navigation,Far,Absolute,Left,nonflipper,1.0,male,29,2.8666666666666667,13,,Handler,Right,2
